season,team,W,D,L,points,GF,GA,GD,position
2023/2024,Man City,28,7,3,91,96,34,62,1st
2023/2024,Arsenal,28,5,5,89,91,29,62,2nd
2023/2024,Liverpool,24,10,4,82,86,41,45,3rd
2023/2024,Aston Villa,20,8,10,68,76,61,15,4th
2023/2024,Tottenham,20,6,12,66,74,61,13,5th
2023/2024,Chelsea,18,9,11,63,77,63,14,6th
2023/2024,Newcastle,18,6,14,60,85,62,23,7th
2023/2024,Man United,18,6,14,60,57,58,-1,8th
2023/2024,West Ham,14,10,14,52,60,74,-14,9th
2023/2024,Crystal Palace,13,10,15,49,57,58,-1,10th
2023/2024,Everton,13,9,16,48,40,51,-11,11th
2023/2024,Brighton,12,12,14,48,55,62,-7,12th
2023/2024,Bournemouth,13,9,16,48,54,67,-13,13th
2023/2024,Fulham,13,8,17,47,55,61,-6,14th
2023/2024,Wolves,13,7,18,46,50,65,-15,15th
2023/2024,Brentford,10,9,19,39,56,65,-9,16th
2023/2024,Nott'm Forest,9,9,20,36,49,67,-18,17th
2023/2024,Luton,6,8,24,26,52,85,-33,18th
2023/2024,Burnley,5,9,24,24,41,78,-37,19th
2023/2024,Sheffield United,3,7,28,16,35,104,-69,20th
2024/2025,Liverpool,25,9,4,84,86,41,45,1st
2024/2025,Arsenal,20,14,4,74,69,34,35,2nd
2024/2025,Man City,21,8,9,71,72,44,28,3rd
2024/2025,Chelsea,20,9,9,69,64,43,21,4th
2024/2025,Newcastle,20,6,12,66,68,47,21,5th
2024/2025,Aston Villa,19,9,10,66,58,51,7,6th
2024/2025,Nott'm Forest,19,8,11,65,58,46,12,7th
2024/2025,Brighton,16,13,9,61,66,59,7,8th
2024/2025,Brentford,16,8,14,56,66,57,9,9th
2024/2025,Bournemouth,15,11,12,56,58,46,12,10th
2024/2025,Fulham,15,9,14,54,54,54,0,11th
2024/2025,Crystal Palace,13,14,11,53,51,51,0,12th
2024/2025,Everton,11,15,12,48,42,44,-2,13th
2024/2025,West Ham,11,10,17,43,46,62,-16,14th
2024/2025,Wolves,12,6,20,42,54,69,-15,15th
2024/2025,Man United,11,9,18,42,44,54,-10,16th
2024/2025,Tottenham,11,5,22,38,64,65,-1,17th
2024/2025,Leicester,6,7,25,25,33,80,-47,18th
2024/2025,Ipswich,4,10,24,22,36,82,-46,19th
2024/2025,Southampton,2,6,30,12,26,86,-60,20th
2025/2026,Arsenal,26,7,5,85,71,27,44,1st
2025/2026,Man City,23,9,6,78,77,35,42,2nd
2025/2026,Man United,20,11,7,71,69,50,19,3rd
2025/2026,Aston Villa,19,8,11,65,56,49,7,4th
2025/2026,Liverpool,17,9,12,60,63,53,10,5th
2025/2026,Bournemouth,13,18,7,57,58,54,4,6th
2025/2026,Sunderland,14,12,12,54,42,48,-6,7th
2025/2026,Brighton,14,11,13,53,52,46,6,8th
2025/2026,Brentford,14,11,13,53,55,52,3,9th
2025/2026,Fulham,15,7,16,52,47,51,-4,10th
2025/2026,Chelsea,14,10,14,52,58,52,6,11th
2025/2026,Newcastle,14,7,17,49,53,55,-2,12th
2025/2026,Everton,13,10,15,49,47,50,-3,13th
2025/2026,Leeds,11,14,13,47,49,56,-7,14th
2025/2026,Crystal Palace,11,12,15,45,41,51,-10,15th
2025/2026,Nott'm Forest,11,11,16,44,48,51,-3,16th
2025/2026,Tottenham,10,11,17,41,48,57,-9,17th
2025/2026,West Ham,10,9,19,39,46,65,-19,18th
2025/2026,Burnley,4,10,24,22,38,75,-37,19th
2025/2026,Wolves,3,11,24,20,27,68,-41,20th
,,,,,,,,,
